,LocationID,Borough,Zone,service_zone,geometry
0,1,EWR,Newark Airport,EWR,"LINESTRING (-74.014278 40.7116997, -74.0141936 40.7116571, -74.0141165 40.7116009, -74.0140525 40.7115253, -74.0140195 40.7114559, -74.0140054 40.7113784, -74.0139955 40.7111005)"
1,2,Queens,Jamaica Bay,Boro Zone,"POLYGON ((-73.8364124 40.602993600000005, -73.83441239999999 40.602993600000005, -73.83441239999999 40.6049936, -73.8364124 40.6049936, -73.8364124 40.602993600000005))"
2,3,Bronx,Allerton/Pelham Gardens,Boro Zone,"POLYGON ((-73.8683652 40.864429900000005, -73.86636519999999 40.864429900000005, -73.86636519999999 40.8664299, -73.8683652 40.8664299, -73.8683652 40.864429900000005))"
3,4,Manhattan,Alphabet City,Yellow Zone,"POLYGON ((-73.9805833 40.724102200000004, -73.9785833 40.724102200000004, -73.9785833 40.7261022, -73.9805833 40.7261022, -73.9805833 40.724102200000004))"
4,5,Staten Island,Arden Heights,Boro Zone,"POLYGON ((-74.1920042 40.5626894, -74.1920037 40.5626448, -74.19194 40.5626411, -74.1916953 40.5626304, -74.1914591 40.5626328, -74.1913589 40.5626349, -74.1912223 40.5626449, -74.1911298 40.5626556, -74.1911343 40.5626821, -74.1911414 40.5627247, -74.1911838 40.5629304, -74.1912061 40.5630316, -74.1912503 40.5632566, -74.1914458 40.5642604, -74.1916765 40.5642487, -74.1919565 40.5642345, -74.1919384 40.5641431, -74.1917582 40.5629804, -74.1917571 40.5629743, -74.1917539 40.5629536, -74.1917503 40.5629301, -74.1917466 40.5629061, -74.1917429 40.562882, -74.1917394 40.5628586, -74.191729 40.5627726, -74.1917941 40.5627708, -74.1917955 40.5627148, -74.1919418 40.5627096, -74.1919411 40.562681, -74.1920042 40.5626894))"
5,6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,"POLYGON ((-74.07364120000001 40.5974379, -74.0716412 40.5974379, -74.0716412 40.5994379, -74.07364120000001 40.5994379, -74.07364120000001 40.5974379))"
6,7,Queens,Astoria,Boro Zone,"POLYGON ((-73.9312673 40.7710145, -73.92926729999999 40.7710145, -73.92926729999999 40.773014499999995, -73.9312673 40.773014499999995, -73.9312673 40.7710145))"
7,8,Queens,Astoria Park,Boro Zone,"POLYGON ((-73.9276582 40.7767518, -73.9239898 40.7747518, -73.9232107 40.7754032, -73.9238355 40.7766028, -73.9181112 40.7812551, -73.919271 40.782072, -73.9197625 40.7824156, -73.9198855 40.7823139, -73.9200706 40.7821609, -73.9220003 40.7805651, -73.9236668 40.7791681, -73.9247695 40.7784873, -73.9250394 40.7784087, -73.9261664 40.7780807, -73.9276582 40.7767518))"
8,9,Queens,Auburndale,Boro Zone,"POLYGON ((-73.7907239 40.7604516, -73.7887239 40.7604516, -73.7887239 40.7624516, -73.7907239 40.7624516, -73.7907239 40.7604516))"
9,10,Queens,Baisley Park,Boro Zone,"POLYGON ((-73.7895818 40.6749493, -73.7892438 40.6744835, -73.7891066 40.6743537, -73.7890695 40.6743187, -73.7886376 40.6739139, -73.7881977 40.673566, -73.7879873 40.6732164, -73.787964 40.6728408, -73.7883556 40.6712378, -73.7887557 40.6695328, -73.7888499 40.6691037, -73.7890019 40.668383, -73.7891013 40.6679502, -73.789201 40.6672175, -73.7892346 40.6669945, -73.7892298 40.6669534, -73.7892259 40.6669165, -73.7888623 40.6669484, -73.7876368 40.6670713, -73.7870682 40.6671405, -73.7859255 40.6722997, -73.7857941 40.6725969, -73.7857552 40.6726586, -73.7855911 40.672918, -73.7855227 40.6730262, -73.7854134 40.673199, -73.78532 40.6733513, -73.7851927 40.6735543, -73.7851485 40.6736248, -73.7850346 40.6738196, -73.7849306 40.6739848, -73.7844705 40.6747161, -73.7843876 40.6748418, -73.7843643 40.6748771, -73.7842882 40.6749778, -73.7842849 40.6749817, -73.7842192 40.6750597, -73.7841584 40.6751254, -73.7841236 40.675163, -73.7840192 40.6752583, -73.783943 40.6753228, -73.7838971 40.6753616, -73.7838371 40.6754008, -73.7838031 40.6754269, -73.7837368 40.6754667, -73.7836919 40.675501, -73.7834389 40.6756839, -73.7831625 40.6758837, -73.7829015 40.6760723, -73.7825844 40.6763014, -73.7822806 40.676521, -73.7820051 40.6767201, -73.7817468 40.6769268, -73.7818975 40.6770835, -73.7820302 40.677207, -73.7820974 40.6772472, -73.7821222 40.6772956, -73.7821328 40.677368, -73.7820656 40.6776512, -73.7820656 40.6777196, -73.7820868 40.6777961, -73.7824688 40.678419, -73.7840013 40.6779109, -73.7840684 40.6779021, -73.78415 40.6779264, -73.7841966 40.6779618, -73.7842199 40.6780038, -73.7842199 40.6780502, -73.7842433 40.6782071, -73.7842957 40.6785431, -73.784436 40.6793806, -73.78496 40.6828969, -73.7849085 40.6829571, -73.7844216 40.6831452, -73.7844849 40.6832678, -73.7846643 40.6835574, -73.7847012 40.6836061, -73.7847278 40.6836257, -73.7848751 40.6837754, -73.7850329 40.6840455, -73.7859369 40.6846033, -73.7862021 40.6847671, -73.7863027 40.6848292, -73.7863987 40.6848885, -73.7864334 40.6849099, -73.7865617 40.6849891, -73.7866786 40.6849388, -73.7868677 40.6848573, -73.7869922 40.6848037, -73.7872138 40.6847082, -73.786618 40.6839088, -73.7864105 40.6836406, -73.7860456 40.6831283, -73.7859629 40.6830168, -73.787811 40.6822255, -73.7880041 40.6821263, -73.7882421 40.681981, -73.788041 40.6816927, -73.7878223 40.6813845, -73.7876124 40.681093, -73.7875842 40.6810552, -73.7873849 40.6807881, -73.78727 40.6806298, -73.7872402 40.6805837, -73.7872358 40.6805569, -73.787238 40.6805326, -73.7872446 40.6805134, -73.7872545 40.6804907, -73.78727 40.6804656, -73.7872844 40.6804363, -73.787407 40.6802679, -73.7873599 40.6800221, -73.7873237 40.6798563, -73.7872723 40.6796461, -73.7872365 40.6794757, -73.7871665 40.6791102, -73.7871257 40.6789558, -73.7870802 40.6787261, -73.7870476 40.6786101, -73.7869938 40.6784075, -73.7868847 40.6780173, -73.7868343 40.6778024, -73.7867496 40.6774109, -73.7867235 40.6772343, -73.7867252 40.6771714, -73.7867349 40.6769824, -73.7867724 40.676523, -73.7868017 40.6761711, -73.7868164 40.6759574, -73.7868408 40.6754708, -73.7868554 40.6751757, -73.786888 40.6751077, -73.7869206 40.675083, -73.7869841 40.6750448, -73.7873081 40.674962, -73.7876061 40.6748817, -73.7878227 40.6748447, -73.7880165 40.6748447, -73.7886304 40.6749311, -73.7892219 40.6750309, -73.7894825 40.6750734, -73.7895048 40.6750214, -73.7895294 40.6749931, -73.7895818 40.6749493))"
